event_id,event_type,title,date,start_time,duration_minutes
EVT0065,class,Database Systems,2025-02-19,10:00,75
EVT0066,class,Operating Systems,2025-02-20,13:00,75
EVT0067,class,Affective Computing,2025-02-20,13:00,75
EVT0068,class,Database Systems,2025-02-21,10:00,75
EVT0069,class,Data Structures & Algorithms,2025-02-24,10:00,75
EVT0070,class,Data Networks & Security,2025-02-24,10:00,75
EVT0071,club,ACM Student Chapter,2025-02-24,17:00,60
EVT0072,class,Operating Systems,2025-02-25,13:00,75
EVT0073,class,Affective Computing,2025-02-25,13:00,75
EVT0074,class,Data Structures & Algorithms,2025-02-26,10:00,75
EVT0075,class,Data Networks & Security,2025-02-26,10:00,75
EVT0076,class,Database Systems,2025-02-26,10:00,75
EVT0077,class,Operating Systems,2025-02-27,13:00,75
EVT0078,class,Affective Computing,2025-02-27,13:00,75
EVT0079,class,Database Systems,2025-02-28,10:00,75
EVT0080,class,Data Structures & Algorithms,2025-03-03,10:00,75
EVT0081,class,Data Networks & Security,2025-03-03,10:00,75
EVT0082,class,Operating Systems,2025-03-04,13:00,75
EVT0083,class,Affective Computing,2025-03-04,13:00,75
EVT0084,class,Data Structures & Algorithms,2025-03-05,10:00,75
EVT0085,class,Data Networks & Security,2025-03-05,10:00,75
EVT0086,class,Database Systems,2025-03-05,10:00,75
EVT0087,class,Operating Systems,2025-03-06,13:00,75
EVT0088,class,Affective Computing,2025-03-06,13:00,75
EVT0089,office_hours,Data Structures & Algorithms,2025-03-06,15:00,30
EVT0090,class,Database Systems,2025-03-07,10:00,75
EVT0091,class,Data Structures & Algorithms,2025-03-10,10:00,75
EVT0092,class,Data Networks & Security,2025-03-10,10:00,75
EVT0093,club,ACM Student Chapter,2025-03-10,17:00,60
EVT0094,class,Operating Systems,2025-03-11,13:00,75
EVT0095,class,Affective Computing,2025-03-11,13:00,75
EVT0096,class,Data Structures & Algorithms,2025-03-12,10:00,75
EVT0097,class,Data Networks & Security,2025-03-12,10:00,75
EVT0098,class,Database Systems,2025-03-12,10:00,75
EVT0099,class,Operating Systems,2025-03-13,13:00,75
EVT0100,class,Affective Computing,2025-03-13,13:00,75
EVT0101,office_hours,Affective Computing,2025-03-13,15:00,30
EVT0102,class,Database Systems,2025-03-14,10:00,75
EVT0103,class,Data Structures & Algorithms,2025-03-17,10:00,75
EVT0104,class,Data Networks & Security,2025-03-17,10:00,75
EVT0105,class,Operating Systems,2025-03-18,13:00,75
EVT0106,class,Affective Computing,2025-03-18,13:00,75
EVT0107,office_hours,Operating Systems,2025-03-18,15:00,30
EVT0108,class,Data Structures & Algorithms,2025-03-19,10:00,75
EVT0109,class,Data Networks & Security,2025-03-19,10:00,75
EVT0110,class,Database Systems,2025-03-19,10:00,75
EVT0111,class,Operating Systems,2025-03-20,13:00,75
EVT0112,class,Affective Computing,2025-03-20,13:00,75
EVT0113,office_hours,Data Networks & Security,2025-03-20,15:00,30
EVT0114,class,Database Systems,2025-03-21,10:00,75
EVT0115,class,Data Structures & Algorithms,2025-03-24,10:00,75
EVT0116,class,Data Networks & Security,2025-03-24,10:00,75
EVT0117,club,ACM Student Chapter,2025-03-24,17:00,60
EVT0118,class,Operating Systems,2025-03-25,13:00,75
EVT0119,class,Affective Computing,2025-03-25,13:00,75
EVT0120,office_hours,Affective Computing,2025-03-25,15:00,30
EVT0121,class,Data Structures & Algorithms,2025-03-26,10:00,75
EVT0122,class,Data Networks & Security,2025-03-26,10:00,75
EVT0123,class,Database Systems,2025-03-26,10:00,75
EVT0124,class,Operating Systems,2025-03-27,13:00,75
EVT0125,class,Affective Computing,2025-03-27,13:00,75
EVT0126,office_hours,Data Networks & Security,2025-03-27,15:00,30
EVT0127,class,Database Systems,2025-03-28,10:00,75
EVT0128,class,Data Structures & Algorithms,2025-03-31,10:00,75
EVT0129,class,Data Networks & Security,2025-03-31,10:00,75
EVT0130,class,Operating Systems,2025-04-01,13:00,75
EVT0131,class,Affective Computing,2025-04-01,13:00,75
EVT0132,class,Data Structures & Algorithms,2025-04-02,10:00,75
EVT0133,class,Data Networks & Security,2025-04-02,10:00,75
EVT0134,class,Database Systems,2025-04-02,10:00,75
EVT0135,class,Operating Systems,2025-04-03,13:00,75
EVT0136,class,Affective Computing,2025-04-03,13:00,75
EVT0137,class,Database Systems,2025-04-04,10:00,75
EVT0138,class,Data Structures & Algorithms,2025-04-07,10:00,75
EVT0139,class,Data Networks & Security,2025-04-07,10:00,75
EVT0140,club,ACM Student Chapter,2025-04-07,17:00,60
EVT0141,class,Operating Systems,2025-04-08,13:00,75
EVT0142,class,Affective Computing,2025-04-08,13:00,75
EVT0143,class,Data Structures & Algorithms,2025-04-09,10:00,75
EVT0144,class,Data Networks & Security,2025-04-09,10:00,75
EVT0145,class,Database Systems,2025-04-09,10:00,75
EVT0146,class,Operating Systems,2025-04-10,13:00,75
EVT0147,class,Affective Computing,2025-04-10,13:00,75
EVT0148,class,Database Systems,2025-04-11,10:00,75
EVT0149,class,Data Structures & Algorithms,2025-04-14,10:00,75
EVT0150,class,Data Networks & Security,2025-04-14,10:00,75
EVT0151,class,Operating Systems,2025-04-15,13:00,75
EVT0152,class,Affective Computing,2025-04-15,13:00,75
EVT0153,class,Data Structures & Algorithms,2025-04-16,10:00,75
EVT0154,class,Data Networks & Security,2025-04-16,10:00,75
EVT0155,class,Database Systems,2025-04-16,10:00,75
EVT0156,class,Operating Systems,2025-04-17,13:00,75
EVT0157,class,Affective Computing,2025-04-17,13:00,75
EVT0158,class,Database Systems,2025-04-18,10:00,75
EVT0159,class,Data Structures & Algorithms,2025-04-21,10:00,75
EVT0160,class,Data Networks & Security,2025-04-21,10:00,75
EVT0161,club,ACM Student Chapter,2025-04-21,17:00,60
EVT0162,class,Operating Systems,2025-04-22,13:00,75
EVT0163,class,Affective Computing,2025-04-22,13:00,75
EVT0164,class,Data Structures & Algorithms,2025-04-23,10:00,75
EVT0165,class,Data Networks & Security,2025-04-23,10:00,75
EVT0166,class,Database Systems,2025-04-23,10:00,75
EVT0167,class,Operating Systems,2025-04-24,13:00,75
EVT0168,class,Affective Computing,2025-04-24,13:00,75
EVT0169,class,Database Systems,2025-04-25,10:00,75
EVT0170,class,Data Structures & Algorithms,2025-04-28,10:00,75
EVT0171,class,Data Networks & Security,2025-04-28,10:00,75
EVT0172,class,Operating Systems,2025-04-29,13:00,75
EVT0173,class,Affective Computing,2025-04-29,13:00,75
EVT0174,class,Data Structures & Algorithms,2025-04-30,10:00,75
EVT0175,class,Data Networks & Security,2025-04-30,10:00,75
EVT0176,class,Database Systems,2025-04-30,10:00,75
EVT0177,class,Operating Systems,2025-05-01,13:00,75
EVT0178,class,Affective Computing,2025-05-01,13:00,75
EVT0179,class,Database Systems,2025-05-02,10:00,75
